Grid ID,Topological Type,tb,r,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror,Parents
S467,m10n41,-7,0,?,?,S467,"{'G663', 'G657', 'G664', 'G660', 'G653', 'G662', 'G658', 'G652'}"
S468,m10n41,-7,0,?,?,S468,"{'G654', 'G661', 'G656', 'G665', 'G655', 'G659'}"
S469,m10n41,-7,2,--,--,S472,{'G661'}
S470,m10n41,-7,2,--,--,S470,{'G665'}
S471,m10n41,-7,2,--,--,S473,"{'G663', 'G662'}"
S472,m10n41,-7,2,--,--,S469,{'G659'}
S473,m10n41,-7,2,--,--,S471,"{'G660', 'G664'}"
S474,m10n42,-12,-1,--,--,S476,"{'G670', 'G674', 'G676', 'G667', 'G668'}"
S475,m10n42,-12,-1,--,--,S475,"{'G671', 'G677', 'G675'}"
S476,m10n42,-12,-1,--,--,S474,"{'G669', 'G666', 'G672', 'G673', 'G678'}"
S477,m10n42,-12,-3,--,--,S478,{'G666'}
S478,m10n42,-12,-3,--,--,S477,{'G667'}
S479,m10n42,-12,1,--,--,S479,"{'G671', 'G677', 'G675'}"
S480,m10n42,-12,1,--,--,S481,"{'G680', 'G669', 'G672', 'G673', 'G678'}"
S481,m10n42,-12,1,--,--,S480,"{'G670', 'G674', 'G676', 'G668', 'G679'}"
S482,m10n42,-12,3,--,--,S483,{'G679'}
S483,m10n42,-12,3,--,--,S482,{'G680'}
S484,10n42,0,-1,--,--,S484,"{'G684', 'G697', 'G686', 'G693'}"
S485,10n42,0,-1,--,--,S488,"{'G698', 'G688', 'G685', 'G691'}"
S486,10n42,0,-1,--,--,S490,{'G682'}
S487,10n42,0,-1,--,--,S489,"{'G695', 'G694', 'G687', 'G699'}"
S488,10n42,0,-1,--,--,S485,"{'G702', 'G701', 'G683', 'G681'}"
S489,10n42,0,-1,--,--,S487,"{'G696', 'G692', 'G689', 'G700'}"
S490,10n42,0,-1,--,--,S486,{'G690'}
S491,10n42,0,1,--,--,S495,"{'G694', 'G692', 'G699', 'G700'}"
S492,10n42,0,1,--,--,S497,"{'G702', 'G688', 'G683', 'G685'}"
S493,10n42,0,1,--,--,S494,{'G697'}
S494,10n42,0,1,--,--,S493,{'G684'}
S495,10n42,0,1,--,--,S491,"{'G689', 'G695', 'G687', 'G696'}"
S496,10n42,0,1,--,--,S496,"{'G693', 'G686', 'G682', 'G690'}"
S497,10n42,0,1,--,--,S492,"{'G701', 'G698', 'G681', 'G691'}"
S498,m11n107,-1,-2,--,--,S498,{'G706'}
S499,m11n107,-1,-2,--,--,S499,{'G705'}
S500,m11n107,-1,0,S501,?,S500,"{'G705', 'G708'}"
S501,m11n107,-1,0,S500,?,S501,"{'G706', 'G707'}"
S502,m11n107,-1,2,--,--,S502,{'G707'}
S503,m11n107,-1,2,--,--,S503,{'G708'}
S504,11n107,-11,-2,--,--,S504,{'G703'}
S505,11n107,-11,0,?,?,S505,{'G703'}
S506,11n107,-11,0,?,S505,S506,{'G704'}
S507,11n107,-11,2,--,--,S507,{'G704'}
S508,11n106,-5,-2,--,--,?,"{'G714', 'G713'}"
S509,11n106,-5,-2,--,--,?,"{'G710', 'G711'}"
S510,11n106,-5,-2,--,--,S510,{'G709'}
S511,11n106,-5,-2,--,--,S511,{'G712'}
S512,11n106,-5,0,?,S513,?,"{'G720', 'G709', 'G711', 'G710', 'G718'}"
S513,11n106,-5,0,?,S512,S513,"{'G712', 'G713', 'G715', 'G717', 'G716', 'G714', 'G719'}"
S514,11n106,-5,2,--,--,S516,"{'G717', 'G719'}"
S515,11n106,-5,2,--,--,S515,{'G715'}
S516,11n106,-5,2,--,--,S514,{'G716'}
S517,11n106,-5,2,--,--,?,{'G718'}
S518,11n106,-5,2,--,--,S518,{'G720'}
S519,m11n106,-7,-2,--,--,?,{'G721'}
S520,m11n106,-7,-2,--,--,?,{'G723'}
S521,m11n106,-7,-2,--,--,?,{'G722'}
S522,m11n106,-7,0,?,?,?,{'G722'}
S523,m11n106,-7,0,?,S524,?,{'G721'}
S524,m11n106,-7,0,?,S523,?,"{'G726', 'G723', 'G724'}"
S525,m11n106,-7,0,?,?,S525,{'G725'}
S527,m11n106,-7,2,--,--,S527,{'G725'}
S528,m11n106,-7,2,--,--,?,{'G724'}
S529,m11n106,-7,2,--,--,?,{'G726'}
S530,11n50,-3,-2,--,--,S531,{'G728'}
S531,11n50,-3,-2,--,--,S530,{'G727'}
S532,11n50,-3,0,?,?,?,{'G729'}
S533,11n50,-3,0,?,?,S534,{'G727'}
S534,11n50,-3,0,?,?,S533,{'G728'}
S535,11n50,-3,0,?,?,?,{'G730'}
S536,11n50,-3,2,--,--,?,{'G729'}
S537,11n50,-3,2,--,--,?,{'G730'}
S538,m11n50,-9,-2,--,--,S542,{'G736'}
S539,m11n50,-9,-2,--,--,S540,{'G732'}
S540,m11n50,-9,-2,--,--,S539,{'G734'}
S541,m11n50,-9,-2,--,--,S543,{'G731'}
S542,m11n50,-9,-2,--,--,S538,{'G733'}
S543,m11n50,-9,-2,--,--,S541,{'G735'}
S545,m11n50,-9,0,?,?,S547,"{'G740', 'G735', 'G733', 'G742', 'G734', 'G739'}"
S547,m11n50,-9,0,?,?,S545,"{'G732', 'G731', 'G737', 'G741', 'G736', 'G738'}"
S548,m11n50,-9,2,--,--,S550,{'G738'}
S549,m11n50,-9,2,--,--,S552,{'G739'}
S550,m11n50,-9,2,--,--,S548,{'G742'}
S551,m11n50,-9,2,--,--,S553,{'G741'}
S552,m11n50,-9,2,--,--,S549,{'G737'}
S553,m11n50,-9,2,--,--,S551,{'G740'}
S554,m11n84,-12,-1,--,--,S554,"{'G762', 'G748', 'G761', 'G759', 'G747', 'G743', 'G750', 'G754', 'G746', 'G755', 'G757', 'G758', 'G752', 'G756', 'G749', 'G763', 'G744', 'G760', 'G764', 'G751', 'G753', 'G765', 'G745'}"
S555,m11n84,-12,-3,--,--,S557,"{'G743', 'G747'}"
S556,m11n84,-12,-3,--,--,S556,"{'G748', 'G745'}"
S557,m11n84,-12,-3,--,--,S555,"{'G744', 'G746'}"
S558,m11n84,-12,-3,--,--,S558,{'G749'}
S559,m11n84,-12,1,--,--,S559,"{'G767', 'G762', 'G761', 'G759', 'G771', 'G768', 'G750', 'G754', 'G755', 'G757', 'G758', 'G752', 'G756', 'G766', 'G770', 'G772', 'G763', 'G760', 'G764', 'G751', 'G753', 'G769', 'G765'}"
S560,m11n84,-12,3,--,--,S560,"{'G771', 'G766'}"
S561,m11n84,-12,3,--,--,S563,"{'G768', 'G770'}"
S562,m11n84,-12,3,--,--,S562,{'G769'}
S563,m11n84,-12,3,--,--,S561,"{'G767', 'G772'}"
S564,11n84,0,-1,--,--,S564,{'G773'}
S565,11n84,0,-1,--,--,S565,{'G774'}
S566,11n84,0,1,--,--,S566,{'G774'}
S567,11n84,0,1,--,--,S567,{'G773'}
S568,11n81,-14,-1,--,--,S568,{'G775'}
S569,11n81,-14,1,--,--,S569,{'G775'}
S570,m11n81,2,-1,--,--,S570,{'G776'}
S571,m11n81,2,1,--,--,S571,{'G776'}
S572,11n48,-4,-1,--,--,S572,"{'G777', 'G780'}"
S573,11n48,-4,-1,--,--,S573,"{'G778', 'G779'}"
S574,11n48,-4,1,--,--,S574,"{'G777', 'G780'}"
S575,11n48,-4,1,--,--,S575,"{'G778', 'G779'}"
S576,m11n48,-8,-1,--,--,S576,"{'G790', 'G781', 'G788', 'G782', 'G789', 'G786', 'G784', 'G785', 'G783', 'G787'}"
S577,m11n48,-8,-3,--,--,S577,"{'G784', 'G781'}"
S578,m11n48,-8,-3,--,--,S579,"{'G782', 'G783'}"
S579,m11n48,-8,-3,--,--,S578,"{'G786', 'G785'}"
S580,m11n48,-8,1,--,--,S580,"{'G790', 'G796', 'G788', 'G792', 'G789', 'G795', 'G791', 'G793', 'G794', 'G787'}"
S581,m11n48,-8,3,--,--,S583,"{'G795', 'G793'}"
S582,m11n48,-8,3,--,--,S582,"{'G796', 'G794'}"
S583,m11n48,-8,3,--,--,S581,"{'G792', 'G791'}"
S584,11n20,-4,-1,--,--,S585,"{'G798', 'G809', 'G797', 'G803', 'G802', 'G808', 'G799', 'G812', 'G805'}"
S585,11n20,-4,-1,--,--,S584,"{'G811', 'G813', 'G806', 'G801', 'G810', 'G804', 'G807', 'G800', 'G814'}"
S586,11n20,-4,1,--,--,S587,"{'G798', 'G813', 'G797', 'G806', 'G803', 'G808', 'G799', 'G812', 'G805'}"
S587,11n20,-4,1,--,--,S586,"{'G809', 'G811', 'G807', 'G801', 'G810', 'G802', 'G804', 'G800', 'G814'}"
S588,m11n20,-8,-1,--,--,S589,"{'G818', 'G816'}"
S589,m11n20,-8,-1,--,--,S588,"{'G817', 'G815'}"
S590,m11n20,-8,1,--,--,S591,"{'G818', 'G816'}"
S591,m11n20,-8,1,--,--,S590,"{'G817', 'G815'}"
S592,m11n122,-12,-1,--,--,S593,"{'G827', 'G828', 'G821', 'G820', 'G819'}"
S593,m11n122,-12,-1,--,--,S592,"{'G826', 'G822', 'G823', 'G825', 'G824'}"
S594,m11n122,-12,-3,--,--,S596,"{'G819', 'G821'}"
S595,m11n122,-12,-3,--,--,S597,{'G820'}
S596,m11n122,-12,-3,--,--,S594,"{'G823', 'G822'}"
S597,m11n122,-12,-3,--,--,S595,{'G824'}
S598,m11n122,-12,1,--,--,S599,"{'G827', 'G834', 'G831', 'G828', 'G833'}"
S599,m11n122,-12,1,--,--,S598,"{'G826', 'G830', 'G832', 'G825', 'G829'}"
S600,m11n122,-12,3,--,--,S601,"{'G829', 'G830'}"
S601,m11n122,-12,3,--,--,S600,"{'G833', 'G831'}"
S602,m11n122,-12,3,--,--,S603,{'G834'}
S603,m11n122,-12,3,--,--,S602,{'G832'}
S604,11n122,0,-1,--,--,?,{'G836'}
S605,11n122,0,-1,--,--,S606,{'G835'}
S606,11n122,0,-1,--,--,S605,{'G837'}
S607,11n122,0,-1,--,--,?,{'G838'}
S608,11n122,0,1,--,--,S610,{'G835'}
S609,11n122,0,1,--,--,S611,{'G838'}
S610,11n122,0,1,--,--,?,{'G837'}
S611,11n122,0,1,--,--,S609,{'G836'}
S612,m11n82,-5,-2,--,--,S612,"{'G844', 'G842'}"
S613,m11n82,-5,-2,--,--,?,{'G843'}
S614,m11n82,-5,-2,--,--,S615,"{'G839', 'G840'}"
S615,m11n82,-5,-2,--,--,S614,{'G841'}
S616,m11n82,-5,0,S616,S616,S616,"{'G841', 'G846', 'G840', 'G845', 'G839', 'G844', 'G847', 'G843', 'G848', 'G850', 'G849', 'G842'}"
S617,m11n82,-5,2,--,--,S618,{'G845'}
S618,m11n82,-5,2,--,--,S617,"{'G847', 'G846'}"
S619,m11n82,-5,2,--,--,?,{'G848'}
S620,m11n82,-5,2,--,--,S620,"{'G850', 'G849'}"
S621,11n82,-7,-2,--,--,S621,{'G852'}
S622,11n82,-7,-2,--,--,S622,{'G851'}
S623,11n82,-7,0,?,?,?,{'G853'}
S624,11n82,-7,0,?,S625,S624,"{'G851', 'G854'}"
S625,11n82,-7,0,?,S624,S625,{'G852'}
S626,11n82,-7,2,--,--,?,{'G853'}
S627,11n82,-7,2,--,--,S627,{'G854'}
S628,11n132,-3,-2,--,--,S631,{'G855'}
S629,11n132,-3,-2,--,--,?,{'G856'}
S630,11n132,-3,-2,--,--,?,{'G857'}
S631,11n132,-3,-2,--,--,S628,{'G858'}
S632,11n132,-3,0,S633,?,S633,"{'G858', 'G859'}"
S633,11n132,-3,0,S632,?,S632,"{'G860', 'G855'}"
S635,11n132,-3,0,S636,?,?,"{'G857', 'G861'}"
S636,11n132,-3,0,S635,?,?,"{'G856', 'G862'}"
S638,11n132,-3,2,--,--,S639,{'G860'}
S639,11n132,-3,2,--,--,S638,{'G859'}
S640,11n132,-3,2,--,--,?,{'G862'}
S641,11n132,-3,2,--,--,?,{'G861'}
S642,m11n132,-9,-2,--,--,S647,{'G867'}
S643,m11n132,-9,-2,--,--,S646,{'G868'}
S644,m11n132,-9,-2,--,--,?,{'G864'}
S645,m11n132,-9,-2,--,--,?,{'G866'}
S646,m11n132,-9,-2,--,--,S643,{'G865'}
S647,m11n132,-9,-2,--,--,S642,{'G863'}
S648,m11n132,-9,0,?,?,S653,{'G871'}
S649,m11n132,-9,0,?,?,S651,"{'G866', 'G865', 'G874'}"
S650,m11n132,-9,0,S652,?,S652,"{'G867', 'G869'}"
S651,m11n132,-9,0,?,S653,S649,{'G868'}
S652,m11n132,-9,0,S650,?,S650,"{'G872', 'G863'}"
S653,m11n132,-9,0,?,S651,S648,"{'G864', 'G873', 'G870'}"
S654,m11n132,-9,2,--,--,S656,{'G871'}
S655,m11n132,-9,2,--,--,S658,{'G872'}
S656,m11n132,-9,2,--,--,S654,{'G873'}
S657,m11n132,-9,2,--,--,?,{'G870'}
S658,m11n132,-9,2,--,--,S655,{'G869'}
S659,m11n132,-9,2,--,--,?,{'G874'}
S660,m11n96,-5,-2,--,--,S661,"{'G875', 'G878'}"
S661,m11n96,-5,-2,--,--,S660,"{'G876', 'G877'}"
S662,m11n96,-5,0,S662,S662,S662,"{'G876', 'G875', 'G882', 'G879', 'G877', 'G880', 'G881', 'G878'}"
S663,m11n96,-5,2,--,--,S664,"{'G880', 'G882'}"
S664,m11n96,-5,2,--,--,S663,"{'G879', 'G881'}"
S665,11n96,-7,-2,--,--,S665,{'G883'}
S666,11n96,-7,0,S666,S666,S666,"{'G884', 'G883'}"
S667,11n96,-7,2,--,--,S667,{'G884'}
S668,m11n110,-4,-1,--,--,S670,"{'G890', 'G886'}"
S669,m11n110,-4,-1,--,--,S671,"{'G892', 'G889'}"
S670,m11n110,-4,-1,--,--,S668,"{'G885', 'G891'}"
S671,m11n110,-4,-1,--,--,S669,"{'G888', 'G887'}"
S672,m11n110,-4,1,--,--,S674,"{'G888', 'G887'}"
S673,m11n110,-4,1,--,--,S675,"{'G885', 'G891'}"
S674,m11n110,-4,1,--,--,S672,"{'G892', 'G889'}"
S675,m11n110,-4,1,--,--,S673,"{'G890', 'G886'}"
S676,11n110,-8,-1,--,--,S677,"{'G902', 'G897', 'G925', 'G932', 'G929', 'G905', 'G913', 'G922', 'G927', 'G899', 'G900', 'G918', 'G930', 'G911', 'G903', 'G917', 'G908', 'G921', 'G912', 'G896'}"
S677,11n110,-8,-1,--,--,S676,"{'G904', 'G928', 'G923', 'G910', 'G916', 'G915', 'G920', 'G926', 'G914', 'G893', 'G907', 'G894', 'G919', 'G924', 'G909', 'G906', 'G898', 'G901', 'G931', 'G895'}"
S678,11n110,-8,-3,--,--,S681,"{'G896', 'G897'}"
S679,11n110,-8,-3,--,--,S680,"{'G898', 'G894'}"
S680,11n110,-8,-3,--,--,S679,"{'G899', 'G900'}"
S681,11n110,-8,-3,--,--,S678,"{'G895', 'G893'}"
S682,11n110,-8,1,--,--,S683,"{'G904', 'G928', 'G923', 'G910', 'G916', 'G939', 'G915', 'G920', 'G926', 'G914', 'G907', 'G919', 'G934', 'G924', 'G909', 'G906', 'G935', 'G901', 'G940', 'G931'}"
S683,11n110,-8,1,--,--,S682,"{'G902', 'G933', 'G925', 'G932', 'G929', 'G937', 'G936', 'G905', 'G913', 'G922', 'G927', 'G918', 'G930', 'G911', 'G903', 'G917', 'G908', 'G921', 'G912', 'G938'}"
S684,11n110,-8,3,--,--,S687,"{'G937', 'G938'}"
S685,11n110,-8,3,--,--,S686,"{'G934', 'G939'}"
S686,11n110,-8,3,--,--,S685,"{'G936', 'G933'}"
S687,11n110,-8,3,--,--,S684,"{'G940', 'G935'}"
S688,11n92,-5,-2,--,--,?,"{'G941', 'G942'}"
S689,11n92,-5,-2,--,--,?,"{'G943', 'G944'}"
S690,11n92,-5,0,?,?,S690,"{'G941', 'G948', 'G942', 'G947', 'G945'}"
S691,11n92,-5,0,?,?,S691,"{'G946', 'G943', 'G944'}"
S692,11n92,-5,2,--,--,?,{'G946'}
S693,11n92,-5,2,--,--,S694,"{'G948', 'G945'}"
S694,11n92,-5,2,--,--,S693,{'G947'}
S695,m11n92,-7,-2,--,--,?,{'G950'}
S696,m11n92,-7,-2,--,--,?,{'G949'}
S698,m11n92,-7,0,S699,?,?,{'G951'}
S699,m11n92,-7,0,S698,?,?,{'G949'}
S700,m11n92,-7,0,?,?,?,"{'G952', 'G950'}"
S701,m11n92,-7,2,--,--,?,{'G951'}
S702,m11n92,-7,2,--,--,?,{'G952'}
S703,m11n86,-4,-1,--,--,S703,{'G953'}
S704,m11n86,-4,-1,--,--,S704,{'G955'}
S705,m11n86,-4,-1,--,--,?,{'G954'}
S706,m11n86,-4,1,--,--,S706,{'G953'}
S707,m11n86,-4,1,--,--,S707,{'G955'}
S708,m11n86,-4,1,--,--,?,{'G954'}
S709,11n86,-8,-1,--,--,S709,"{'G977', 'G970', 'G957', 'G963', 'G969', 'G971', 'G965', 'G956', 'G961', 'G974', 'G960', 'G973', 'G967', 'G976', 'G959', 'G966', 'G979', 'G958', 'G964', 'G978', 'G975', 'G972', 'G962', 'G968'}"
S710,11n86,-8,-3,--,--,S711,"{'G957', 'G958'}"
S711,11n86,-8,-3,--,--,S710,"{'G956', 'G961'}"
S712,11n86,-8,-3,--,--,S712,"{'G959', 'G960'}"
S713,11n86,-8,1,--,--,S713,"{'G977', 'G982', 'G970', 'G963', 'G969', 'G971', 'G965', 'G985', 'G974', 'G973', 'G981', 'G967', 'G980', 'G976', 'G984', 'G966', 'G979', 'G964', 'G978', 'G975', 'G972', 'G962', 'G968', 'G983'}"
S714,11n86,-8,3,--,--,S714,"{'G982', 'G981'}"
S715,11n86,-8,3,--,--,S716,"{'G983', 'G984'}"
S716,11n86,-8,3,--,--,S715,"{'G980', 'G985'}"
S717,11n111,-10,-1,--,--,S717,"{'G988', 'G991', 'G992', 'G989', 'G990'}"
S718,11n111,-10,-3,--,--,S718,{'G988'}
S719,11n111,-10,1,--,--,S719,"{'G991', 'G992', 'G989', 'G993', 'G990'}"
S720,11n111,-10,3,--,--,S720,{'G993'}
S721,m11n111,-2,-1,--,--,S722,{'G987'}
S722,m11n111,-2,-1,--,--,S721,{'G986'}
S723,m11n111,-2,1,--,--,S724,{'G987'}
S724,m11n111,-2,1,--,--,S723,{'G986'}
S725,m11n117,-4,-1,--,--,S726,"{'G996', 'G998', 'G1001', 'G999', 'G995'}"
S726,m11n117,-4,-1,--,--,S725,"{'G1002', 'G1003', 'G1000', 'G994', 'G997'}"
S727,m11n117,-4,1,--,--,S728,"{'G996', 'G1002', 'G998', 'G994', 'G1001'}"
S728,m11n117,-4,1,--,--,S727,"{'G1003', 'G1000', 'G997', 'G999', 'G995'}"
S729,11n117,-8,-1,--,--,S730,"{'G1006', 'G1007'}"
S730,11n117,-8,-1,--,--,S729,"{'G1004', 'G1005'}"
S731,11n117,-8,1,--,--,S732,"{'G1006', 'G1007'}"
S732,11n117,-8,1,--,--,S731,"{'G1004', 'G1005'}"
S733,11n37,-4,-1,--,--,S735,"{'G1012', 'G1015'}"
S734,11n37,-4,-1,--,--,S736,"{'G1010', 'G1008'}"
S735,11n37,-4,-1,--,--,S733,"{'G1013', 'G1014'}"
S736,11n37,-4,-1,--,--,S734,"{'G1009', 'G1011'}"
S737,11n37,-4,1,--,--,S738,"{'G1013', 'G1014'}"
S738,11n37,-4,1,--,--,S737,"{'G1012', 'G1015'}"
S739,11n37,-4,1,--,--,S740,"{'G1009', 'G1011'}"
S740,11n37,-4,1,--,--,S739,"{'G1010', 'G1008'}"
S741,m11n37,-8,-1,--,--,S742,"{'G1028', 'G1029', 'G1021', 'G1026', 'G1018', 'G1017', 'G1022', 'G1031'}"
S742,m11n37,-8,-1,--,--,S741,"{'G1019', 'G1024', 'G1016', 'G1023', 'G1027', 'G1025', 'G1030', 'G1020'}"
S743,m11n37,-8,-3,--,--,S746,"{'G1017', 'G1018'}"
S744,m11n37,-8,-3,--,--,S745,"{'G1016', 'G1019'}"
S745,m11n37,-8,-3,--,--,S744,"{'G1022', 'G1021'}"
S746,m11n37,-8,-3,--,--,S743,"{'G1023', 'G1020'}"
S747,m11n37,-8,1,--,--,S748,"{'G1036', 'G1024', 'G1032', 'G1037', 'G1034', 'G1027', 'G1025', 'G1030'}"
S748,m11n37,-8,1,--,--,S747,"{'G1039', 'G1038', 'G1028', 'G1029', 'G1026', 'G1035', 'G1033', 'G1031'}"
S749,m11n37,-8,3,--,--,S751,"{'G1039', 'G1038'}"
S750,m11n37,-8,3,--,--,S752,"{'G1036', 'G1034'}"
S751,m11n37,-8,3,--,--,S749,"{'G1037', 'G1032'}"
S752,m11n37,-8,3,--,--,S750,"{'G1033', 'G1035'}"
S753,m11n143,-4,-1,--,--,S753,"{'G1041', 'G1040'}"
S754,m11n143,-4,1,--,--,S754,"{'G1041', 'G1040'}"
S755,11n143,-8,-1,--,--,S755,"{'G1042', 'G1045', 'G1043', 'G1046', 'G1044'}"
S756,11n143,-8,-3,--,--,S756,{'G1042'}
S757,11n143,-8,1,--,--,S757,"{'G1045', 'G1043', 'G1046', 'G1044', 'G1047'}"
S758,11n143,-8,3,--,--,S758,{'G1047'}
S759,m11n134,-12,-1,--,--,S760,"{'G1065', 'G1057', 'G1076', 'G1056', 'G1051', 'G1053', 'G1054', 'G1070', 'G1060', 'G1072', 'G1059', 'G1077', 'G1062', 'G1067', 'G1050', 'G1071'}"
S760,m11n134,-12,-1,--,--,S759,"{'G1063', 'G1055', 'G1061', 'G1075', 'G1049', 'G1079', 'G1052', 'G1064', 'G1048', 'G1068', 'G1069', 'G1074', 'G1073', 'G1078', 'G1058', 'G1066'}"
S761,m11n134,-12,-3,--,--,S764,"{'G1052', 'G1049'}"
S762,m11n134,-12,-3,--,--,S766,{'G1055'}
S763,m11n134,-12,-3,--,--,S765,{'G1048'}
S764,m11n134,-12,-3,--,--,S761,"{'G1051', 'G1050'}"
S765,m11n134,-12,-3,--,--,S763,{'G1053'}
S766,m11n134,-12,-3,--,--,S762,{'G1054'}
S767,m11n134,-12,1,--,--,S768,"{'G1063', 'G1061', 'G1081', 'G1075', 'G1079', 'G1064', 'G1083', 'G1068', 'G1069', 'G1085', 'G1074', 'G1073', 'G1078', 'G1058', 'G1066', 'G1086'}"
S768,m11n134,-12,1,--,--,S767,"{'G1065', 'G1057', 'G1087', 'G1082', 'G1056', 'G1084', 'G1076', 'G1070', 'G1080', 'G1060', 'G1072', 'G1059', 'G1077', 'G1062', 'G1067', 'G1071'}"
S769,m11n134,-12,3,--,--,S774,"{'G1087', 'G1084'}"
S770,m11n134,-12,3,--,--,S771,{'G1080'}
S771,m11n134,-12,3,--,--,S770,{'G1085'}
S772,m11n134,-12,3,--,--,S773,{'G1083'}
S773,m11n134,-12,3,--,--,S772,{'G1082'}
S774,m11n134,-12,3,--,--,S769,"{'G1081', 'G1086'}"
S775,11n134,0,-1,--,--,S776,"{'G1088', 'G1095'}"
S776,11n134,0,-1,--,--,S775,"{'G1089', 'G1092'}"
S777,11n134,0,-1,--,--,S778,"{'G1093', 'G1094'}"
S778,11n134,0,-1,--,--,S777,"{'G1091', 'G1090'}"
S779,11n134,0,1,--,--,S782,"{'G1088', 'G1095'}"
S780,11n134,0,1,--,--,S781,"{'G1093', 'G1094'}"
S781,11n134,0,1,--,--,S780,"{'G1091', 'G1090'}"
S782,11n134,0,1,--,--,S779,"{'G1089', 'G1092'}"
S783,m11n145,-5,-2,--,--,S783,{'G1096'}
S784,m11n145,-5,0,S785,?,?,{'G1097'}
S785,m11n145,-5,0,S784,?,?,{'G1096'}
S786,m11n145,-5,2,--,--,S786,{'G1097'}
S787,11n145,-7,-2,--,--,S788,"{'G1098', 'G1099'}"
S788,11n145,-7,-2,--,--,S787,"{'G1100', 'G1101'}"
S789,11n145,-7,0,S789,S789,S789,"{'G1101', 'G1098', 'G1104', 'G1100', 'G1099', 'G1105', 'G1103', 'G1102'}"
S790,11n145,-7,2,--,--,S791,"{'G1103', 'G1104'}"
S791,11n145,-7,2,--,--,S790,"{'G1105', 'G1102'}"
S792,11n164,-12,-1,--,--,S792,"{'G1107', 'G1106'}"
S793,11n164,-12,1,--,--,S793,"{'G1107', 'G1106'}"
S794,m11n164,0,-1,--,--,S796,"{'G1114', 'G1113'}"
S795,m11n164,0,-1,--,--,S795,"{'G1115', 'G1116', 'G1111', 'G1110', 'G1109'}"
S796,m11n164,0,-1,--,--,S794,"{'G1108', 'G1112'}"
S797,m11n164,0,1,--,--,S798,"{'G1112', 'G1110'}"
S798,m11n164,0,1,--,--,S797,"{'G1114', 'G1109'}"
S799,m11n164,0,1,--,--,S799,"{'G1115', 'G1113', 'G1108', 'G1116', 'G1111'}"
S800,11n126,-16,-1,--,--,S800,{'G1117'}
S801,11n126,-16,-3,--,--,S801,{'G1117'}
S802,11n126,-16,1,--,--,S802,{'G1118'}
S803,11n126,-16,3,--,--,S803,{'G1118'}
S804,m11n126,4,-1,--,--,S804,"{'G1120', 'G1119', 'G1123'}"
S805,m11n126,4,-1,--,--,S805,"{'G1122', 'G1124', 'G1121'}"
S806,m11n126,4,1,--,--,S806,"{'G1122', 'G1124', 'G1121'}"
S807,m11n126,4,1,--,--,S807,"{'G1120', 'G1119', 'G1123'}"
S808,11n142,-4,-1,--,--,S808,"{'G1126', 'G1125'}"
S809,11n142,-4,1,--,--,S809,"{'G1126', 'G1125'}"
S810,m11n142,-8,-1,--,--,S810,"{'G1127', 'G1130', 'G1134', 'G1128', 'G1129', 'G1136', 'G1132', 'G1131', 'G1133', 'G1135'}"
S811,m11n142,-8,1,--,--,S811,"{'G1127', 'G1130', 'G1134', 'G1128', 'G1129', 'G1136', 'G1132', 'G1131', 'G1133', 'G1135'}"
S812,11n27,-14,-1,--,--,S813,"{'G1138', 'G1140', 'G1141'}"
S813,11n27,-14,-1,--,--,S812,"{'G1142', 'G1137', 'G1139'}"
S814,11n27,-14,-3,--,--,S815,{'G1137'}
S815,11n27,-14,-3,--,--,S814,{'G1138'}
S816,11n27,-14,1,--,--,S817,"{'G1141', 'G1144', 'G1140'}"
S817,11n27,-14,1,--,--,S816,"{'G1142', 'G1143', 'G1139'}"
S818,11n27,-14,3,--,--,S819,{'G1143'}
S819,11n27,-14,3,--,--,S818,{'G1144'}
S820,m11n27,2,-1,--,--,S821,"{'G1148', 'G1146'}"
S821,m11n27,2,-1,--,--,S820,"{'G1147', 'G1145'}"
S822,m11n27,2,1,--,--,S823,"{'G1147', 'G1145'}"
S823,m11n27,2,1,--,--,S822,"{'G1148', 'G1146'}"
S824,m11n147,-1,-2,--,--,S825,"{'G1158', 'G1153', 'G1156'}"
S825,m11n147,-1,-2,--,--,S824,"{'G1157', 'G1155', 'G1154'}"
S826,m11n147,-1,0,?,?,S827,"{'G1162', 'G1159', 'G1154', 'G1157', 'G1155', 'G1161'}"
S827,m11n147,-1,0,?,?,S826,"{'G1158', 'G1153', 'G1163', 'G1160', 'G1156', 'G1164'}"
S828,m11n147,-1,2,--,--,S829,"{'G1162', 'G1159', 'G1161'}"
S829,m11n147,-1,2,--,--,S828,"{'G1164', 'G1160', 'G1163'}"
S830,11n147,-11,-2,--,--,S831,{'G1150'}
S831,11n147,-11,-2,--,--,S830,{'G1149'}
S832,11n147,-11,0,?,?,S833,"{'G1151', 'G1149'}"
S833,11n147,-11,0,?,?,S832,"{'G1152', 'G1150'}"
S834,11n147,-11,2,--,--,S835,{'G1152'}
S835,11n147,-11,2,--,--,S834,{'G1151'}
S836,m11n133,-1,-2,--,--,S836,{'G1167'}
S837,m11n133,-1,0,S837,S837,S837,"{'G1168', 'G1167'}"
S838,m11n133,-1,2,--,--,S838,{'G1168'}
S839,11n133,-11,-2,--,--,S839,{'G1165'}
S840,11n133,-11,0,S840,S840,S840,"{'G1166', 'G1165'}"
S841,11n133,-11,2,--,--,S841,{'G1166'}
