Grid ID,Topological Type,tb,r,X,O,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror
G714,11n106,-4,-1,"(0, 8, 9, 4, 2, 3, 5, 1, 6, 7)","(6, 1, 3, 0, 7, 8, 9, 4, 2, 5)",--,--,?
G715,11n106,-4,1,"(0, 8, 9, 4, 2, 3, 1, 5, 6, 7)","(6, 2, 3, 1, 7, 0, 8, 9, 4, 5)",--,--,?
G716,11n106,-4,1,"(0, 7, 4, 2, 3, 5, 6, 8, 1, 9)","(6, 3, 1, 8, 9, 0, 4, 5, 7, 2)",--,--,G717
G717,11n106,-4,1,"(0, 4, 5, 6, 3, 1, 8, 2, 7, 9)","(8, 9, 1, 2, 0, 7, 4, 5, 3, 6)",--,--,G716
G718,11n106,-4,1,"(0, 5, 6, 4, 2, 7, 8, 9, 1, 3)","(4, 2, 3, 1, 8, 9, 0, 5, 6, 7)",--,--,?
G719,11n106,-4,1,"(0, 8, 4, 9, 3, 1, 2, 5, 6, 7)","(6, 3, 1, 2, 0, 7, 8, 9, 4, 5)",--,--,?
G720,11n106,-4,1,"(0, 2, 3, 1, 7, 5, 6, 4, 8, 9)","(5, 7, 8, 6, 4, 2, 3, 9, 0, 1)",--,--,?
G721,m11n106,-6,-1,"(0, 2, 1, 3, 7, 6, 5, 4, 9, 8)","(3, 6, 4, 9, 2, 0, 8, 7, 5, 1)",--,--,?
G722,m11n106,-6,-1,"(0, 3, 1, 6, 5, 2, 4, 9, 8, 7)","(4, 9, 8, 0, 7, 6, 1, 5, 3, 2)",--,--,?
G723,m11n106,-6,-1,"(0, 6, 9, 5, 1, 8, 7, 3, 2, 4)","(3, 2, 4, 7, 6, 5, 0, 9, 8, 1)",--,--,?
G724,m11n106,-6,1,"(0, 5, 4, 3, 6, 8, 7, 2, 9, 1)","(3, 2, 9, 7, 1, 5, 4, 0, 6, 8)",--,--,?
G725,m11n106,-6,1,"(0, 2, 7, 6, 8, 5, 4, 3, 9, 1)","(5, 9, 1, 0, 4, 3, 2, 7, 6, 8)",--,--,G725
G726,m11n106,-6,1,"(0, 8, 9, 7, 1, 3, 2, 4, 6, 5)","(7, 6, 4, 2, 5, 0, 9, 1, 3, 8)",--,--,?
G727,11n50,-2,-1,"(0, 1, 8, 2, 9, 4, 7, 6, 3, 5)","(2, 4, 3, 6, 5, 8, 0, 9, 7, 1)",--,--,G728
G728,11n50,-2,-1,"(0, 2, 7, 5, 8, 9, 6, 1, 4, 3)","(4, 8, 1, 9, 0, 3, 2, 5, 7, 6)",--,--,G727
G729,11n50,-2,1,"(0, 7, 2, 5, 1, 9, 3, 4, 8, 6)","(5, 4, 6, 9, 8, 7, 0, 2, 3, 1)",--,--,?
G730,11n50,-2,1,"(0, 2, 1, 4, 3, 6, 8, 9, 7, 5)","(3, 8, 6, 9, 7, 2, 0, 5, 4, 1)",--,--,?
G731,m11n50,-8,-1,"(0, 5, 7, 4, 6, 2, 8, 9, 3, 1)","(2, 1, 3, 9, 0, 7, 5, 6, 8, 4)",--,--,G735
G732,m11n50,-8,-1,"(0, 8, 1, 6, 4, 7, 5, 2, 3, 9)","(4, 2, 5, 3, 9, 0, 8, 6, 7, 1)",--,--,G734
G733,m11n50,-8,-1,"(0, 7, 8, 5, 3, 4, 6, 2, 1, 9)","(5, 1, 4, 9, 6, 7, 0, 8, 3, 2)",--,--,G736
G734,m11n50,-8,-1,"(0, 7, 9, 5, 3, 4, 6, 1, 2, 8)","(6, 1, 2, 0, 8, 9, 3, 5, 7, 4)",--,--,G732
G735,m11n50,-8,-1,"(0, 1, 7, 9, 8, 6, 3, 4, 2, 5)","(4, 6, 2, 5, 0, 9, 7, 1, 8, 3)",--,--,G731
G736,m11n50,-8,-1,"(0, 8, 1, 2, 9, 4, 7, 3, 6, 5)","(6, 2, 4, 5, 3, 0, 1, 8, 9, 7)",--,--,G733
G737,m11n50,-8,1,"(0, 4, 6, 8, 5, 7, 2, 3, 1, 9)","(5, 7, 2, 3, 9, 1, 8, 0, 6, 4)",--,--,G739
G738,m11n50,-8,1,"(0, 7, 8, 5, 3, 4, 6, 2, 1, 9)","(5, 2, 4, 9, 6, 7, 1, 0, 8, 3)",--,--,G742
G739,m11n50,-8,1,"(0, 3, 1, 4, 2, 8, 9, 7, 5, 6)","(8, 9, 7, 0, 5, 3, 6, 4, 1, 2)",--,--,G737
G740,m11n50,-8,1,"(0, 3, 9, 8, 1, 2, 6, 4, 7, 5)","(6, 8, 7, 4, 5, 0, 3, 1, 2, 9)",--,--,G741
G741,m11n50,-8,1,"(0, 1, 7, 3, 5, 2, 4, 9, 8, 6)","(3, 4, 2, 9, 0, 6, 8, 7, 5, 1)",--,--,G740
G742,m11n50,-8,1,"(0, 9, 3, 1, 5, 6, 8, 4, 7, 2)","(8, 5, 6, 4, 7, 2, 3, 0, 1, 9)",--,--,G738
G743,m11n84,-11,-2,"(0, 7, 5, 3, 6, 4, 9, 2, 1, 8)","(4, 9, 1, 8, 0, 7, 5, 6, 3, 2)",--,--,G744
G744,m11n84,-11,-2,"(0, 2, 9, 6, 1, 8, 7, 4, 5, 3)","(4, 7, 5, 0, 3, 2, 9, 8, 1, 6)",--,--,G743
G745,m11n84,-11,-2,"(0, 1, 9, 8, 6, 7, 5, 4, 2, 3)","(4, 7, 2, 0, 9, 3, 1, 6, 5, 8)",--,--,G745
G746,m11n84,-11,-2,"(0, 9, 6, 8, 7, 4, 5, 3, 1, 2)","(5, 1, 0, 3, 9, 8, 2, 6, 4, 7)",--,--,G747
G747,m11n84,-11,-2,"(0, 2, 1, 9, 8, 6, 7, 5, 3, 4)","(5, 7, 3, 2, 0, 9, 4, 1, 6, 8)",--,--,G746
G748,m11n84,-11,-2,"(0, 9, 7, 5, 6, 2, 4, 1, 3, 8)","(4, 1, 3, 8, 0, 7, 9, 5, 6, 2)",--,--,G748
G749,m11n84,-11,-2,"(0, 6, 8, 7, 5, 3, 4, 2, 9, 1)","(2, 1, 4, 9, 8, 6, 0, 7, 3, 5)",--,--,G749
G750,m11n84,-11,0,"(0, 1, 9, 7, 6, 8, 4, 2, 5, 3)","(5, 8, 2, 4, 0, 3, 1, 7, 9, 6)",G759,G755,G764
G751,m11n84,-11,0,"(0, 8, 9, 7, 4, 3, 6, 5, 1, 2)","(4, 1, 5, 3, 2, 8, 0, 7, 6, 9)",G751,G760,G760
G752,m11n84,-11,0,"(0, 8, 7, 9, 5, 6, 4, 3, 1, 2)","(7, 6, 1, 3, 0, 2, 8, 5, 4, 9)",G761,G754,G762
G753,m11n84,-11,0,"(0, 1, 8, 9, 7, 6, 5, 3, 4, 2)","(3, 5, 2, 6, 4, 0, 8, 7, 1, 9)",G753,G758,G758
G754,m11n84,-11,0,"(0, 8, 7, 5, 6, 2, 4, 3, 1, 9)","(7, 6, 3, 9, 1, 8, 0, 5, 4, 2)",G762,G752,G761
G755,m11n84,-11,0,"(0, 2, 8, 1, 9, 6, 5, 3, 7, 4)","(6, 7, 3, 5, 2, 4, 0, 9, 1, 8)",G764,G750,G759
G756,m11n84,-11,0,"(0, 8, 7, 1, 9, 5, 6, 3, 2, 4)","(7, 6, 3, 4, 2, 0, 1, 8, 5, 9)",G765,G757,G763
G757,m11n84,-11,0,"(0, 7, 9, 4, 2, 6, 1, 5, 3, 8)","(5, 2, 3, 1, 8, 0, 9, 7, 6, 4)",G763,G756,G765
G758,m11n84,-11,0,"(0, 7, 8, 6, 4, 5, 2, 3, 1, 9)","(6, 2, 5, 9, 7, 1, 0, 8, 4, 3)",G758,G753,G753
G759,m11n84,-11,0,"(0, 8, 4, 6, 3, 2, 5, 9, 1, 7)","(5, 1, 9, 2, 0, 7, 8, 6, 4, 3)",G750,G764,G755
G760,m11n84,-11,0,"(0, 1, 7, 6, 9, 8, 5, 3, 4, 2)","(3, 6, 5, 2, 4, 0, 9, 7, 1, 8)",G760,G751,G751
G761,m11n84,-11,0,"(0, 2, 1, 8, 9, 7, 6, 4, 5, 3)","(4, 7, 3, 2, 6, 5, 0, 8, 1, 9)",G752,G762,G754
G762,m11n84,-11,0,"(0, 1, 9, 8, 6, 7, 4, 3, 5, 2)","(4, 7, 5, 0, 9, 3, 2, 8, 1, 6)",G754,G761,G752
G763,m11n84,-11,0,"(0, 9, 2, 7, 1, 8, 5, 3, 6, 4)","(7, 5, 6, 3, 4, 2, 0, 8, 1, 9)",G757,G765,G756
G764,m11n84,-11,0,"(0, 2, 9, 7, 8, 4, 6, 3, 5, 1)","(4, 8, 5, 1, 3, 9, 2, 0, 7, 6)",G755,G759,G750
G765,m11n84,-11,0,"(0, 8, 9, 6, 7, 5, 4, 2, 1, 3)","(7, 2, 4, 1, 3, 8, 6, 0, 5, 9)",G756,G763,G757
G766,m11n84,-11,2,"(0, 8, 5, 6, 3, 1, 4, 2, 9, 7)","(6, 4, 1, 2, 0, 7, 9, 8, 5, 3)",--,--,G766
G767,m11n84,-11,2,"(0, 8, 6, 7, 4, 3, 5, 2, 1, 9)","(7, 5, 9, 3, 2, 8, 1, 0, 6, 4)",--,--,G770
G768,m11n84,-11,2,"(0, 2, 8, 9, 7, 5, 4, 6, 3, 1)","(5, 7, 3, 6, 4, 1, 8, 2, 0, 9)",--,--,G772
G769,m11n84,-11,2,"(0, 8, 9, 7, 5, 4, 6, 2, 1, 3)","(5, 2, 6, 4, 3, 8, 1, 0, 7, 9)",--,--,G769
G770,m11n84,-11,2,"(0, 1, 9, 7, 8, 6, 5, 3, 2, 4)","(6, 8, 3, 0, 5, 4, 2, 1, 7, 9)",--,--,G767
G771,m11n84,-11,2,"(0, 1, 9, 8, 6, 7, 5, 4, 2, 3)","(5, 8, 7, 2, 0, 4, 3, 1, 6, 9)",--,--,G771
G772,m11n84,-11,2,"(0, 8, 9, 6, 5, 7, 4, 2, 1, 3)","(7, 2, 5, 4, 1, 3, 8, 0, 6, 9)",--,--,G768
G773,11n84,1,0,"(0, 8, 9, 1, 3, 2, 4, 7, 5, 6)","(5, 2, 7, 8, 0, 6, 9, 3, 1, 4)",?,?,G773
G774,11n84,1,0,"(0, 2, 9, 1, 4, 6, 3, 5, 8, 7)","(3, 6, 4, 5, 8, 0, 7, 9, 2, 1)",?,?,?
G775,11n81,-13,0,"(0, 2, 1, 9, 8, 6, 5, 7, 4, 3)","(5, 8, 7, 4, 3, 0, 9, 2, 1, 6)",G775,G775,G775
G776,m11n81,3,0,"(0, 1, 4, 2, 3, 5, 6, 8, 9, 7)","(3, 8, 9, 6, 7, 0, 1, 4, 5, 2)",G776,G776,G776
G777,11n48,-3,0,"(0, 9, 1, 2, 5, 7, 6, 4, 3, 8)","(7, 6, 8, 0, 1, 3, 2, 9, 5, 4)",G779,G779,G777
G778,11n48,-3,0,"(0, 2, 3, 8, 7, 4, 6, 5, 9, 1)","(3, 4, 6, 5, 9, 8, 1, 0, 2, 7)",G780,G780,G778
G779,11n48,-3,0,"(0, 9, 1, 6, 5, 3, 2, 4, 7, 8)","(3, 2, 5, 4, 0, 7, 6, 8, 9, 1)",G777,G777,G779
G780,11n48,-3,0,"(0, 1, 3, 2, 4, 8, 7, 9, 6, 5)","(7, 9, 0, 6, 1, 3, 2, 5, 4, 8)",G778,G778,G780
G781,m11n48,-7,-2,"(0, 8, 9, 1, 2, 7, 5, 6, 4, 3)","(4, 2, 3, 6, 0, 1, 8, 9, 7, 5)",--,--,G784
G782,m11n48,-7,-2,"(0, 1, 9, 6, 7, 8, 4, 5, 3, 2)","(3, 8, 2, 0, 1, 5, 6, 9, 7, 4)",--,--,G785
G783,m11n48,-7,-2,"(0, 8, 9, 2, 7, 5, 3, 4, 1, 6)","(3, 1, 4, 8, 0, 9, 6, 7, 5, 2)",--,--,G786
G784,m11n48,-7,-2,"(0, 9, 7, 8, 6, 2, 3, 1, 4, 5)","(3, 1, 0, 4, 9, 7, 8, 5, 6, 2)",--,--,G781
G785,m11n48,-7,-2,"(0, 1, 7, 8, 9, 6, 4, 5, 3, 2)","(3, 9, 0, 2, 5, 1, 7, 8, 6, 4)",--,--,G782
G786,m11n48,-7,-2,"(0, 7, 8, 6, 4, 9, 2, 3, 1, 5)","(3, 9, 1, 0, 7, 5, 6, 8, 4, 2)",--,--,G783
G787,m11n48,-7,0,"(0, 8, 5, 6, 4, 7, 3, 1, 9, 2)","(7, 1, 9, 3, 0, 2, 8, 5, 4, 6)",?,G789,?
G788,m11n48,-7,0,"(0, 1, 8, 6, 4, 7, 3, 5, 2, 9)","(6, 7, 5, 2, 9, 0, 8, 1, 4, 3)",?,?,G790
G789,m11n48,-7,0,"(0, 6, 2, 4, 1, 5, 3, 8, 7, 9)","(5, 1, 8, 0, 7, 9, 6, 4, 2, 3)",?,G787,?
G790,m11n48,-7,0,"(0, 1, 8, 6, 4, 7, 3, 5, 2, 9)","(5, 7, 3, 9, 8, 2, 0, 1, 6, 4)",?,?,G788
G791,m11n48,-7,2,"(0, 1, 7, 8, 9, 6, 4, 5, 3, 2)","(6, 9, 0, 4, 5, 3, 7, 2, 1, 8)",--,--,G795
G792,m11n48,-7,2,"(0, 6, 4, 5, 1, 3, 2, 9, 7, 8)","(5, 3, 7, 2, 9, 0, 8, 6, 1, 4)",--,--,G793
G793,m11n48,-7,2,"(0, 2, 1, 8, 9, 7, 4, 5, 3, 6)","(4, 9, 7, 5, 6, 3, 8, 2, 0, 1)",--,--,G792
G794,m11n48,-7,2,"(0, 1, 9, 6, 5, 3, 4, 2, 7, 8)","(6, 7, 5, 4, 2, 0, 1, 8, 9, 3)",--,--,G796
G795,m11n48,-7,2,"(0, 1, 9, 6, 7, 8, 4, 5, 3, 2)","(7, 8, 4, 0, 3, 5, 6, 2, 1, 9)",--,--,G791
G796,m11n48,-7,2,"(0, 1, 7, 5, 6, 4, 3, 8, 9, 2)","(5, 6, 4, 9, 3, 2, 0, 1, 7, 8)",--,--,G794
G797,11n20,-3,0,"(0, 1, 8, 9, 7, 2, 3, 5, 6, 4)","(5, 9, 0, 6, 3, 4, 8, 1, 2, 7)",G798,G814,G804
G798,11n20,-3,0,"(0, 1, 9, 5, 6, 4, 7, 8, 2, 3)","(2, 7, 4, 0, 3, 8, 9, 5, 6, 1)",G797,G804,G814
G799,11n20,-3,0,"(0, 1, 2, 4, 8, 9, 3, 7, 5, 6)","(3, 9, 7, 0, 2, 5, 6, 4, 8, 1)",G808,G811,G800
G800,11n20,-3,0,"(0, 5, 6, 1, 7, 8, 3, 4, 2, 9)","(6, 8, 4, 5, 9, 2, 0, 1, 7, 3)",G811,G808,G799
G801,11n20,-3,0,"(0, 1, 8, 6, 7, 4, 5, 9, 2, 3)","(2, 7, 5, 9, 0, 8, 3, 4, 6, 1)",G810,G805,G803
G802,11n20,-3,0,"(0, 1, 9, 5, 6, 7, 3, 4, 2, 8)","(4, 7, 6, 8, 0, 2, 9, 1, 5, 3)",G806,G809,G813
G803,11n20,-3,0,"(0, 1, 9, 4, 7, 8, 5, 6, 2, 3)","(5, 8, 2, 0, 1, 6, 7, 3, 4, 9)",G805,G810,G801
G804,11n20,-3,0,"(0, 1, 5, 6, 9, 7, 8, 4, 2, 3)","(2, 7, 8, 4, 5, 0, 3, 9, 6, 1)",G814,G798,G797
G805,11n20,-3,0,"(0, 7, 8, 6, 3, 4, 1, 2, 5, 9)","(6, 4, 5, 9, 7, 2, 3, 8, 0, 1)",G803,G801,G810
G806,11n20,-3,0,"(0, 4, 2, 3, 6, 5, 7, 9, 1, 8)","(3, 1, 7, 9, 0, 8, 4, 5, 6, 2)",G802,G813,G809
G807,11n20,-3,0,"(0, 6, 7, 8, 5, 3, 4, 1, 2, 9)","(8, 9, 1, 4, 0, 6, 2, 3, 7, 5)",G807,G812,G812
G808,11n20,-3,0,"(0, 8, 9, 4, 5, 1, 6, 7, 2, 3)","(5, 1, 2, 0, 3, 7, 8, 4, 6, 9)",G799,G800,G811
G809,11n20,-3,0,"(0, 4, 3, 5, 8, 6, 9, 7, 1, 2)","(5, 6, 7, 1, 4, 2, 3, 0, 8, 9)",G813,G802,G806
G810,11n20,-3,0,"(0, 6, 7, 4, 5, 8, 3, 1, 2, 9)","(8, 9, 5, 6, 1, 2, 0, 4, 7, 3)",G801,G803,G805
G811,11n20,-3,0,"(0, 6, 7, 1, 4, 2, 3, 9, 5, 8)","(7, 8, 3, 9, 0, 5, 6, 4, 1, 2)",G800,G799,G808
G812,11n20,-3,0,"(0, 8, 5, 6, 7, 3, 4, 1, 2, 9)","(7, 3, 9, 2, 4, 5, 8, 6, 0, 1)",G812,G807,G807
G813,11n20,-3,0,"(0, 6, 7, 8, 2, 5, 3, 4, 1, 9)","(3, 1, 5, 4, 6, 9, 7, 0, 8, 2)",G809,G806,G802
G814,11n20,-3,0,"(0, 8, 9, 6, 7, 3, 1, 2, 4, 5)","(4, 1, 7, 8, 2, 0, 5, 6, 9, 3)",G804,G797,G798
G815,m11n20,-7,0,"(0, 9, 3, 7, 1, 8, 6, 5, 2, 4)","(8, 1, 0, 2, 5, 4, 3, 7, 6, 9)",G817,G818,G816
G816,m11n20,-7,0,"(0, 9, 2, 4, 3, 6, 5, 8, 7, 1)","(6, 3, 7, 1, 5, 4, 0, 2, 9, 8)",G818,G817,G815
G817,m11n20,-7,0,"(0, 2, 5, 4, 3, 7, 6, 9, 8, 1)","(3, 7, 1, 8, 6, 5, 2, 4, 0, 9)",G815,G816,G818
G818,m11n20,-7,0,"(0, 2, 9, 8, 6, 3, 7, 1, 5, 4)","(5, 8, 7, 1, 0, 9, 2, 4, 3, 6)",G816,G815,G817
G819,m11n122,-11,-2,"(0, 8, 7, 6, 4, 5, 2, 3, 1, 9)","(5, 3, 9, 8, 7, 1, 6, 0, 4, 2)",--,--,G822
G820,m11n122,-11,-2,"(0, 1, 6, 9, 8, 7, 5, 3, 4, 2)","(3, 5, 2, 4, 0, 9, 8, 6, 1, 7)",--,--,G824
G821,m11n122,-11,-2,"(0, 8, 4, 6, 1, 5, 3, 2, 9, 7)","(5, 1, 9, 0, 7, 8, 6, 4, 3, 2)",--,--,G823
G822,m11n122,-11,-2,"(0, 1, 8, 9, 7, 6, 5, 3, 4, 2)","(3, 5, 2, 4, 0, 8, 7, 6, 1, 9)",--,--,G819
G823,m11n122,-11,-2,"(0, 6, 8, 5, 7, 1, 4, 3, 9, 2)","(3, 1, 2, 9, 0, 8, 6, 5, 4, 7)",--,--,G821
G824,m11n122,-11,-2,"(0, 8, 4, 7, 6, 5, 2, 3, 1, 9)","(5, 3, 9, 1, 8, 7, 6, 0, 4, 2)",--,--,G820
G825,m11n122,-11,0,"(0, 2, 7, 9, 6, 8, 3, 1, 5, 4)","(5, 6, 3, 4, 1, 2, 0, 7, 9, 8)",G827,G826,G828
G826,m11n122,-11,0,"(0, 7, 9, 4, 6, 2, 1, 5, 3, 8)","(5, 2, 3, 0, 1, 8, 7, 9, 6, 4)",G828,G825,G827
G827,m11n122,-11,0,"(0, 9, 2, 7, 1, 8, 5, 3, 6, 4)","(8, 5, 6, 3, 4, 2, 0, 9, 1, 7)",G825,G828,G826
G828,m11n122,-11,0,"(0, 3, 2, 8, 6, 9, 7, 4, 1, 5)","(6, 7, 4, 5, 1, 3, 2, 0, 8, 9)",G826,G827,G825
G829,m11n122,-11,2,"(0, 8, 7, 6, 4, 5, 2, 3, 1, 9)","(7, 6, 5, 3, 9, 1, 8, 0, 4, 2)",--,--,G833
G830,m11n122,-11,2,"(0, 9, 7, 5, 6, 3, 1, 4, 2, 8)","(7, 6, 4, 1, 2, 0, 8, 9, 5, 3)",--,--,G831
G831,m11n122,-11,2,"(0, 3, 9, 7, 8, 5, 6, 4, 2, 1)","(5, 8, 6, 2, 4, 1, 3, 7, 0, 9)",--,--,G830
G832,m11n122,-11,2,"(0, 8, 9, 7, 5, 6, 3, 2, 1, 4)","(5, 3, 6, 4, 8, 2, 1, 0, 7, 9)",--,--,G834
G833,m11n122,-11,2,"(0, 1, 8, 9, 7, 6, 5, 3, 4, 2)","(3, 7, 2, 6, 5, 4, 0, 8, 1, 9)",--,--,G829
G834,m11n122,-11,2,"(0, 9, 8, 1, 6, 7, 5, 3, 4, 2)","(8, 7, 3, 5, 2, 4, 0, 6, 1, 9)",--,--,G832
G835,11n122,1,0,"(0, 1, 3, 2, 4, 6, 5, 8, 7, 9)","(8, 9, 0, 5, 7, 3, 1, 4, 2, 6)",?,G838,?
G836,11n122,1,0,"(0, 1, 3, 2, 4, 6, 5, 8, 7, 9)","(2, 6, 8, 5, 7, 3, 9, 4, 0, 1)",?,G837,?
G837,11n122,1,0,"(0, 9, 1, 2, 3, 5, 4, 7, 6, 8)","(7, 4, 6, 0, 1, 2, 8, 3, 9, 5)",?,G836,?
G838,11n122,1,0,"(0, 9, 1, 2, 3, 5, 4, 7, 6, 8)","(7, 2, 3, 4, 6, 0, 8, 1, 9, 5)",?,G835,?
G839,m11n82,-4,-1,"(0, 2, 1, 7, 4, 6, 3, 5, 8, 9)","(6, 5, 3, 2, 8, 9, 7, 0, 1, 4)",--,--,?
G840,m11n82,-4,-1,"(0, 1, 2, 3, 9, 7, 8, 6, 4, 5)","(3, 4, 8, 6, 5, 0, 1, 9, 7, 2)",--,--,G841
G841,m11n82,-4,-1,"(0, 1, 9, 6, 7, 8, 3, 2, 4, 5)","(4, 8, 2, 0, 1, 5, 9, 6, 7, 3)",--,--,G840
G842,m11n82,-4,-1,"(0, 1, 9, 5, 3, 4, 6, 7, 8, 2)","(3, 4, 2, 0, 7, 8, 1, 9, 5, 6)",--,--,G844
G843,m11n82,-4,-1,"(0, 2, 1, 6, 4, 7, 5, 3, 8, 9)","(7, 8, 3, 2, 9, 1, 0, 6, 4, 5)",--,--,?
G844,m11n82,-4,-1,"(0, 1, 7, 5, 8, 9, 6, 4, 2, 3)","(4, 8, 9, 0, 2, 3, 1, 7, 5, 6)",--,--,G842
G845,m11n82,-4,1,"(0, 1, 2, 3, 9, 7, 8, 6, 4, 5)","(3, 4, 7, 8, 6, 1, 5, 0, 9, 2)",--,--,G846
G846,m11n82,-4,1,"(0, 4, 9, 7, 8, 1, 2, 3, 6, 5)","(7, 8, 6, 2, 3, 4, 5, 0, 1, 9)",--,--,G845
G847,m11n82,-4,1,"(0, 1, 6, 5, 2, 4, 3, 9, 7, 8)","(3, 5, 4, 9, 7, 0, 8, 6, 1, 2)",--,--,?
G848,m11n82,-4,1,"(0, 1, 9, 2, 3, 6, 8, 7, 5, 4)","(6, 8, 5, 7, 0, 1, 2, 4, 3, 9)",--,--,?
G849,m11n82,-4,1,"(0, 8, 2, 3, 6, 4, 5, 7, 1, 9)","(7, 4, 5, 1, 2, 9, 0, 3, 8, 6)",--,--,G850
G850,m11n82,-4,1,"(0, 1, 9, 3, 4, 6, 7, 5, 8, 2)","(6, 7, 4, 5, 8, 2, 3, 0, 1, 9)",--,--,G849
G851,11n82,-6,-1,"(0, 5, 7, 4, 2, 1, 3, 6, 9, 8)","(4, 3, 9, 8, 6, 5, 7, 0, 2, 1)",--,--,G851
G852,11n82,-6,-1,"(0, 9, 2, 1, 5, 7, 6, 4, 3, 8)","(7, 6, 8, 3, 0, 2, 1, 9, 5, 4)",--,--,G852
G853,11n82,-6,1,"(0, 9, 7, 2, 1, 4, 6, 5, 8, 3)","(6, 5, 1, 0, 8, 9, 3, 2, 4, 7)",--,--,?
G854,11n82,-6,1,"(0, 9, 4, 6, 5, 7, 3, 2, 1, 8)","(6, 5, 7, 1, 8, 2, 0, 9, 4, 3)",--,--,G854
G855,11n132,-2,-1,"(0, 2, 4, 6, 9, 8, 5, 7, 1, 3)","(5, 8, 7, 1, 3, 0, 9, 2, 4, 6)",--,--,G858
G856,11n132,-2,-1,"(0, 4, 9, 2, 5, 7, 6, 8, 3, 1)","(2, 1, 3, 8, 9, 4, 0, 5, 7, 6)",--,--,?
G857,11n132,-2,-1,"(0, 4, 9, 2, 5, 7, 6, 8, 3, 1)","(2, 1, 3, 6, 8, 0, 9, 4, 5, 7)",--,--,?
G858,11n132,-2,-1,"(0, 3, 7, 4, 8, 6, 5, 1, 9, 2)","(5, 9, 1, 0, 3, 2, 7, 6, 4, 8)",--,--,G855
G859,11n132,-2,1,"(0, 3, 2, 6, 8, 5, 4, 7, 9, 1)","(5, 7, 9, 1, 4, 3, 0, 2, 6, 8)",--,--,G860
G860,11n132,-2,1,"(0, 4, 6, 5, 8, 7, 2, 1, 9, 3)","(5, 8, 2, 9, 3, 1, 0, 6, 4, 7)",--,--,G859
G861,11n132,-2,1,"(0, 9, 5, 4, 6, 1, 2, 7, 3, 8)","(6, 4, 3, 7, 2, 5, 8, 0, 9, 1)",--,--,?
G862,11n132,-2,1,"(0, 2, 4, 3, 8, 9, 1, 6, 5, 7)","(6, 9, 1, 0, 2, 7, 5, 4, 8, 3)",--,--,?
G863,m11n132,-8,-1,"(0, 2, 9, 5, 8, 4, 6, 7, 1, 3)","(4, 7, 3, 1, 2, 9, 0, 5, 6, 8)",--,--,G867
G864,m11n132,-8,-1,"(0, 1, 6, 4, 5, 3, 8, 9, 7, 2)","(3, 9, 2, 7, 0, 6, 4, 5, 1, 8)",--,--,?
G865,m11n132,-8,-1,"(0, 8, 9, 7, 5, 6, 1, 4, 2, 3)","(4, 1, 6, 0, 8, 2, 3, 9, 5, 7)",--,--,G868
G866,m11n132,-8,-1,"(0, 8, 4, 2, 3, 1, 7, 5, 6, 9)","(7, 1, 9, 5, 6, 4, 2, 8, 0, 3)",--,--,?
G867,m11n132,-8,-1,"(0, 8, 4, 2, 5, 6, 3, 1, 9, 7)","(3, 1, 9, 6, 7, 0, 8, 4, 5, 2)",--,--,G863
G868,m11n132,-8,-1,"(0, 2, 8, 4, 5, 9, 7, 1, 6, 3)","(4, 5, 3, 6, 1, 2, 0, 8, 9, 7)",--,--,G865
G869,m11n132,-8,1,"(0, 1, 8, 9, 4, 5, 7, 3, 6, 2)","(4, 7, 3, 5, 6, 0, 2, 9, 1, 8)",--,--,G872
G870,m11n132,-8,1,"(0, 8, 4, 5, 3, 1, 7, 9, 2, 6)","(7, 3, 1, 2, 0, 6, 4, 5, 8, 9)",--,--,?
G871,m11n132,-8,1,"(0, 7, 8, 6, 9, 4, 5, 3, 1, 2)","(6, 3, 5, 1, 7, 8, 2, 0, 4, 9)",--,--,G873
G872,m11n132,-8,1,"(0, 7, 8, 1, 9, 5, 6, 3, 4, 2)","(5, 3, 6, 7, 4, 2, 0, 8, 1, 9)",--,--,G869
G873,m11n132,-8,1,"(0, 6, 8, 5, 2, 7, 1, 9, 3, 4)","(5, 3, 4, 1, 9, 0, 8, 6, 7, 2)",--,--,G871
G874,m11n132,-8,1,"(0, 7, 2, 8, 1, 6, 9, 5, 3, 4)","(6, 1, 9, 0, 5, 3, 4, 2, 7, 8)",--,--,?
G875,m11n96,-4,-1,"(0, 7, 8, 1, 6, 3, 5, 2, 4, 9)","(5, 2, 3, 4, 9, 7, 8, 6, 0, 1)",--,--,G877
G876,m11n96,-4,-1,"(0, 1, 3, 4, 9, 7, 5, 8, 6, 2)","(5, 6, 8, 2, 3, 0, 1, 4, 9, 7)",--,--,G878
G877,m11n96,-4,-1,"(0, 4, 2, 5, 3, 1, 8, 9, 6, 7)","(6, 8, 9, 0, 7, 4, 2, 3, 1, 5)",--,--,G875
G878,m11n96,-4,-1,"(0, 2, 9, 5, 6, 4, 7, 8, 1, 3)","(4, 7, 3, 0, 1, 8, 9, 2, 5, 6)",--,--,G876
G879,m11n96,-4,1,"(0, 8, 6, 1, 2, 4, 5, 3, 9, 7)","(4, 5, 2, 3, 7, 9, 0, 8, 6, 1)",--,--,G882
G880,m11n96,-4,1,"(0, 7, 5, 6, 4, 8, 9, 1, 2, 3)","(6, 4, 1, 2, 9, 0, 3, 7, 5, 8)",--,--,G881
