Grid ID,Topological Type,tb,r,Orientation Reversal,Legendrian Mirror,Orientation Reversal + Legendrian Mirror,Parents
T1,10n4,-15,-2,--,--,T1,"{'S2', 'S1'}"
T2,10n4,-15,-4,--,--,T2,"{'S3', 'S2', 'S4'}"
T3,10n4,-15,-6,--,--,T4,{'S3'}
T4,10n4,-15,-6,--,--,T3,{'S4'}
T5,10n4,-15,0,T5,T5,T5,"{'S5', 'S1'}"
T6,10n4,-15,2,--,--,T6,"{'S6', 'S5'}"
T7,10n4,-15,4,--,--,T7,"{'S8', 'S7', 'S6'}"
T8,10n4,-15,6,--,--,T9,{'S7'}
T9,10n4,-15,6,--,--,T8,{'S8'}
T10,m10n4,1,-2,--,--,?,{'S10'}
T11,m10n4,1,-2,--,--,?,{'S9'}
T12,m10n4,1,-2,--,--,?,{'S11'}
T13,m10n4,1,0,?,?,?,"{'S13', 'S9'}"
T14,m10n4,1,0,?,?,?,"{'S12', 'S10'}"
T15,m10n4,1,0,?,?,?,"{'S14', 'S11'}"
T16,m10n4,1,2,--,--,?,{'S12'}
T17,m10n4,1,2,--,--,?,{'S14'}
T18,m10n4,1,2,--,--,?,{'S13'}
T19,m10n6,-6,-1,--,--,?,{'S17'}
T20,m10n6,-6,-1,--,--,T20,"{'S16', 'S15'}"
T21,m10n6,-6,-3,--,--,T21,{'S15'}
T22,m10n6,-6,1,--,--,T22,"{'S18', 'S17'}"
T23,m10n6,-6,1,--,--,?,{'S16'}
T24,m10n6,-6,3,--,--,T24,{'S18'}
T25,10n6,-8,-1,--,--,T25,"{'S21', 'S20', 'S19'}"
T26,10n6,-8,-3,--,--,T27,{'S19'}
T27,10n6,-8,-3,--,--,T26,{'S20'}
T28,10n6,-8,1,--,--,T28,"{'S23', 'S21', 'S22'}"
T29,10n6,-8,3,--,--,T30,{'S23'}
T30,10n6,-8,3,--,--,T29,{'S22'}
T31,m10n8,-1,-2,--,--,T37,{'S36'}
T32,m10n8,-1,-2,--,--,?,{'S37'}
T33,m10n8,-1,-2,--,--,T36,{'S41'}
T34,m10n8,-1,-2,--,--,T35,{'S39'}
T35,m10n8,-1,-2,--,--,T34,{'S40'}
T36,m10n8,-1,-2,--,--,T33,{'S38'}
T37,m10n8,-1,-2,--,--,T31,{'S42'}
T38,m10n8,-1,0,?,?,T40,"{'S44', 'S40', 'S49', 'S37'}"
T39,m10n8,-1,0,?,?,T42,"{'S41', 'S48'}"
T40,m10n8,-1,0,?,?,T38,"{'S47', 'S39'}"
T41,m10n8,-1,0,?,?,T41,"{'S45', 'S42', 'S46', 'S36'}"
T42,m10n8,-1,0,?,?,T39,"{'S38', 'S43'}"
T43,m10n8,-1,2,--,--,T44,{'S49'}
T44,m10n8,-1,2,--,--,T43,{'S47'}
T45,m10n8,-1,2,--,--,T49,{'S43'}
T46,m10n8,-1,2,--,--,T48,{'S45'}
T47,m10n8,-1,2,--,--,?,{'S44'}
T48,m10n8,-1,2,--,--,T46,{'S46'}
T49,m10n8,-1,2,--,--,T45,{'S48'}
T50,10n8,-13,-2,--,--,T51,"{'S29', 'S28', 'S25'}"
T51,10n8,-13,-2,--,--,T50,"{'S26', 'S27', 'S24'}"
T52,10n8,-13,-4,--,--,T54,{'S29'}
T53,10n8,-13,-4,--,--,T55,{'S28'}
T54,10n8,-13,-4,--,--,T52,{'S27'}
T55,10n8,-13,-4,--,--,T53,{'S26'}
T56,10n8,-13,0,?,?,T57,"{'S25', 'S31'}"
T57,10n8,-13,0,?,?,T56,"{'S30', 'S24'}"
T58,10n8,-13,2,--,--,T59,"{'S34', 'S35', 'S31'}"
T59,10n8,-13,2,--,--,T58,"{'S30', 'S33', 'S32'}"
T60,10n8,-13,4,--,--,T62,{'S32'}
T61,10n8,-13,4,--,--,T63,{'S35'}
T62,10n8,-13,4,--,--,T60,{'S34'}
T63,10n8,-13,4,--,--,T61,{'S33'}
T64,m10n12,-6,-1,--,--,T67,"{'S51', 'S53', 'S56'}"
T65,m10n12,-6,-1,--,--,T66,{'S54'}
T66,m10n12,-6,-1,--,--,T65,"{'S55', 'S50'}"
T67,m10n12,-6,-1,--,--,T64,"{'S57', 'S52'}"
T68,m10n12,-6,-3,--,--,T71,{'S52'}
T69,m10n12,-6,-3,--,--,?,{'S50'}
T70,m10n12,-6,-3,--,--,?,{'S51'}
T71,m10n12,-6,-3,--,--,T68,{'S53'}
T72,m10n12,-6,1,--,--,T74,"{'S60', 'S56'}"
T73,m10n12,-6,1,--,--,T75,"{'S54', 'S58'}"
T74,m10n12,-6,1,--,--,T72,{'S57'}
T75,m10n12,-6,1,--,--,T73,"{'S55', 'S59', 'S61'}"
T76,m10n12,-6,3,--,--,T77,{'S58'}
T77,m10n12,-6,3,--,--,T76,{'S61'}
T78,m10n12,-6,3,--,--,?,{'S59'}
T79,m10n12,-6,3,--,--,?,{'S60'}
T80,10n12,-8,-1,--,--,?,"{'S69', 'S67'}"
T81,10n12,-8,-1,--,--,T81,"{'S68', 'S64', 'S63', 'S62', 'S66', 'S65'}"
T82,10n12,-8,-3,--,--,T82,{'S62'}
T83,10n12,-8,-3,--,--,?,{'S64'}
T84,10n12,-8,-3,--,--,?,{'S63'}
T85,10n12,-8,-3,--,--,T87,{'S65'}
T86,10n12,-8,-3,--,--,?,{'S67'}
T87,10n12,-8,-3,--,--,T85,{'S66'}
T88,10n12,-8,1,--,--,T88,"{'S68', 'S72', 'S71', 'S70'}"
T89,10n12,-8,1,--,--,?,{'S69'}
T90,10n12,-8,3,--,--,T90,{'S72'}
T91,10n12,-8,3,--,--,T92,{'S71'}
T92,10n12,-8,3,--,--,T91,{'S70'}
T93,m10n14,-5,-2,--,--,T95,{'S74'}
T94,m10n14,-5,-2,--,--,T96,{'S73'}
T95,m10n14,-5,-2,--,--,T93,{'S76'}
T96,m10n14,-5,-2,--,--,T94,{'S75'}
T97,m10n14,-5,0,?,?,T100,"{'S78', 'S76'}"
T98,m10n14,-5,0,?,?,T99,"{'S75', 'S80'}"
T99,m10n14,-5,0,?,?,T98,"{'S73', 'S77'}"
T100,m10n14,-5,0,?,?,T97,"{'S79', 'S74'}"
T101,m10n14,-5,2,--,--,T104,{'S78'}
T102,m10n14,-5,2,--,--,T103,{'S77'}
T103,m10n14,-5,2,--,--,T102,{'S80'}
